ID,U_Full,V_Full,J_Full,U_Decomposed,V_Decomposed,J_Decomposed,zpk
UDS_6673,-102.88882203398282,-103.30291816447256,-103.41101463256861,-102.88882203398282,-103.30291816447256,-103.41101463256861,1.0895
UDS_6685,-101.09756785374115,-101.55456346786686,-101.71514178587047,-101.09756785374115,-101.55456346786686,-101.71514178587047,0.5981
UDS_6686,-102.20361053369466,-103.08855112491612,-103.81405168213703,-102.15531927977445,-103.06601796005549,-103.79912436942664,2.583
UDS_6694,-101.0001562210752,-101.68936799034226,-102.06575604513199,-100.9999431270537,-101.68913003036799,-102.06421574648468,0.659
UDS_6704,-104.74439594619537,-105.48689992868557,-105.92546065652655,-104.74439594619537,-105.48689992868557,-105.92546065652655,1.2907
UDS_6711,-103.87955693736816,-104.33655255149388,-104.4971308694975,-103.87955693736816,-104.33655255149388,-104.4971308694975,2.9177
UDS_6718,-101.95748218088147,-102.64723256801597,-103.05144653350595,-101.95264178993261,-102.64182869324691,-103.01691440936358,1.8216
UDS_6729,-105.20841187931003,-106.11298453537484,-106.93078772659192,-104.92252930293576,-105.8332279832168,-106.56633439258796,2.9631
UDS_6731,-102.04095130508512,-102.51770789695053,-102.79594224143871,-102.04095130508512,-102.51770789695053,-102.79594224143871,1.6108
UDS_6737,-103.84266728029793,-104.851413826136,-105.47283008871175,-103.84213528364083,-104.85097123288398,-105.47054342220285,0.9464
UDS_6743,-102.1230137728771,-102.63021666677722,-102.9029656230832,-102.02156072227459,-102.53144468670696,-102.75719827208142,1.559
UDS_6744,-102.19630871464375,-102.54309896692138,-102.62665153418332,-102.19630871464375,-102.54309896692138,-102.62665153418332,1.0884
UDS_6745,-103.22768932560368,-103.57326120607891,-103.74796575807716,-103.22222709920914,-103.56487941911209,-103.68089703690327,1.9003
UDS_6747,-101.57704675141014,-101.86073174894695,-101.91580261659281,-101.57704675141014,-101.86073174894695,-101.91580261659281,1.0523
UDS_6748,-104.07398662581501,-105.15006216020015,-106.03778882353703,-104.07398662581501,-105.15006216020015,-106.03778882353703,0.6385
UDS_6750,-104.92323481818835,-105.56472375630756,-106.21598671894796,-104.88010927294512,-105.5379550464375,-106.19594158688828,0.7156
UDS_6754,-103.15817017222544,-103.59427438064509,-103.81350062294963,-103.08226694515889,-103.52913294915895,-103.73022183770757,3.7371
UDS_6766,-102.10167920206665,-102.84418318455685,-103.28274391239782,-102.10167920206665,-102.84418318455685,-103.28274391239782,0.7217
UDS_6770,-103.77073307783377,-104.57793899095398,-105.10497676184696,-103.77073307783377,-104.57793899095398,-105.10497676184696,0.9714
UDS_6772,-105.11907061762395,-105.28889398247885,-105.39398887226665,-104.79469137746776,-104.97742922137266,-104.99144088109577,3.8431
UDS_6773,-104.87995549871002,-105.38695791809891,-105.66314505919401,-104.7705320259874,-105.28041599041977,-105.50616957579425,2.1874
UDS_6774,-103.06237224055894,-104.67886209907034,-106.21668984722645,-103.04998013993965,-104.66974937504841,-106.20821149723817,1.6648
UDS_6778,-105.0887044983598,-105.28788871389952,-105.62167653043963,-104.13190742284,-104.21325955744514,-104.25152023578526,3.7371
UDS_6785,-104.42481390807856,-105.0832415083016,-105.74148952321681,-104.42481390807856,-105.0832415083016,-105.74148952321681,2.0025
UDS_6798,-101.43437809349807,-101.87142757890093,-102.24383082079169,-100.6754743889932,-101.35297998346374,-101.74441828447256,0.6849
UDS_6801,-101.53438700939809,-102.18032572108092,-102.50436941224416,-101.53438700939809,-102.18032572108092,-102.50436941224416,1.0911
UDS_6803,-104.5258142208605,-106.40582362052079,-107.87409707825672,-104.49967538585524,-106.3986414677831,-107.8706785931527,0.7584
UDS_6815,-102.55338840744385,-103.29190161070498,-103.72912001699353,-102.55338840744385,-103.29190161070498,-103.72912001699353,0.8233
UDS_6818,-102.70053177646511,-104.8213606856859,-106.05139376521011,-102.66330875647112,-104.81581382201122,-106.0490939499175,0.3224
UDS_6821,-103.18119683750228,-103.79491658930942,-104.81046953478909,-103.12357598942125,-103.55433575618582,-103.7490591143964,2.9188
UDS_6831,-102.12501001209765,-102.50636673799352,-102.8372679075355,-101.27372301464382,-101.89246942761093,-102.21596523146528,1.0107
UDS_6832,-104.94828790836821,-105.34878450110455,-105.69221589358915,-104.20983751695502,-104.71972148138738,-104.94547506676186,2.5534
UDS_6838,-99.57563930899633,-100.5844752582395,-101.20404744755837,-99.57563930899633,-100.5844752582395,-101.20404744755837,0.4645
UDS_6843,-101.75728811771107,-102.26717208214345,-102.49292566751792,-101.75728811771107,-102.26717208214345,-102.49292566751792,1.3433
UDS_6852,-103.8896916730615,-104.94004448181084,-105.82045308253274,-103.84677221984322,-104.92284775422837,-105.81057441756526,0.8056
UDS_6858,-103.11481786004714,-103.85762586463827,-104.2981259123623,-103.11263096313078,-103.85513494562099,-104.29369567346198,1.4595
UDS_6861,-104.62370883288139,-105.67461571232855,-106.42306029519187,-104.6235400856572,-105.67448066701168,-106.42244000552179,0.7003
UDS_6864,-99.5764378856683,-100.42418697804965,-101.13688492845063,-99.5764378856683,-100.42418697804965,-101.13688492845063,0.5496
UDS_6865,-103.1886309550512,-103.79662514356171,-104.14961744904132,-103.09592924649026,-103.71467565945737,-104.03817146331173,1.7534
UDS_6880,-101.96420275121972,-102.66647712632314,-103.07592624555059,-101.96420275121972,-102.66647712632314,-103.07592624555059,1.1095
UDS_6891,-101.08064257832038,-102.55361356756858,-103.52806430900048,-101.07897818512828,-102.55271090049236,-103.52469425832717,0.8651
UDS_6900,-104.11974357916009,-104.73851980795709,-105.06308929600269,-104.11958791371327,-104.73833432668039,-105.06183013053473,1.3818
UDS_6918,-103.54131922202103,-103.89013332045167,-104.07597949349936,-103.40975457594318,-103.78977898174023,-103.96582492253347,2.3352
UDS_6935,-104.53771536229114,-104.9382884172908,-105.2165473041718,-104.17232851382974,-104.61919451782978,-104.8202834063784,2.1018
UDS_6955,-104.01518557144007,-104.71745994654353,-105.12690906577095,-104.01518557144007,-104.71745994654353,-105.12690906577095,1.4162
UDS_6981,-103.53325871988753,-105.1898953713889,-107.07380485543072,-103.43290654655527,-105.1417965729698,-107.05145220917345,2.3179
UDS_6982,-100.90290395391096,-101.25409919229213,-101.34068401345903,-100.90251155351893,-101.25350091173048,-101.3356192439707,0.7118
UDS_6983,-101.56702411660773,-102.48015058179311,-102.99048990456612,-101.56650196763101,-102.47967617960983,-102.98777437286829,0.8115
UDS_6985,-102.66991943911465,-103.11734529437732,-103.41040039805054,-102.30138534299145,-102.81126930742383,-103.03702289279829,1.367
