lambda (Angstroms),Total Flux (erg/s/cm^2/Angstrom)
9110.0,6.608528518207722e-09
9130.0,6.5895739580232785e-09
9150.0,6.570619397838835e-09
9170.0,6.551664837654392e-09
9190.0,6.532710277469949e-09
9210.0,6.513755717285506e-09
9230.0,6.4948011571010626e-09
9250.0,6.475846596916619e-09
9270.0,6.456892036732176e-09
9290.0,6.437937476547733e-09
9310.0,6.41898291636329e-09
9330.0,6.400028356178847e-09
9350.0,6.381073795994403e-09
9370.0,6.362119235809961e-09
9390.0,6.343164675625517e-09
9410.0,6.324210115441074e-09
9430.0,6.305255555256631e-09
9450.0,6.286300995072188e-09
9470.0,6.267346434887745e-09
9490.0,6.2483918747033014e-09
9510.0,6.229437314518858e-09
9530.0,6.210482754334415e-09
9550.0,6.191528194149972e-09
9570.0,6.172573633965529e-09
9590.0,6.1536190737810855e-09
9610.0,6.134664513596642e-09
9630.0,6.115709953412199e-09
9650.0,6.096755393227756e-09
9670.0,6.077800833043313e-09
9690.0,6.0588462728588695e-09
9710.0,6.039891712674426e-09
9730.0,6.020937152489983e-09
9750.0,6.00198259230554e-09
9770.0,5.983028032121097e-09
9790.0,5.9640734719366536e-09
9810.0,5.945118911752211e-09
9830.0,5.926164351567767e-09
9850.0,5.907209791383324e-09
9870.0,5.888255231198881e-09
9890.0,5.869300671014438e-09
9910.0,5.850346110829995e-09
9930.0,5.831391550645552e-09
9950.0,5.812436990461108e-09
9970.0,5.793482430276665e-09
9990.0,5.774527870092222e-09
10000.0,5.7650505900000004e-09
10030.0,5.746890966579747e-09
10070.0,5.722678135352743e-09
10130.0,5.686358888512236e-09
10170.0,5.662146057285233e-09
10220.0,5.631880018251477e-09
10280.0,5.595560771410971e-09
10320.0,5.571347940183967e-09
10380.0,5.5350286933434605e-09
10430.0,5.504762654309705e-09
10480.0,5.47449661527595e-09
10520.0,5.4502837840489455e-09
10580.0,5.413964537208439e-09
10630.0,5.383698498174684e-09
10680.0,5.353432459140929e-09
10720.0,5.329219627913924e-09
10780.0,5.292900381073418e-09
10820.0,5.268687549846414e-09
10870.0,5.238421510812658e-09
10920.0,5.208155471778903e-09
10980.0,5.171836224938397e-09
11020.0,5.147623393711392e-09
11080.0,5.111304146870886e-09
11130.0,5.081038107837131e-09
11170.0,5.0568252766101264e-09
11220.0,5.026559237576371e-09
11280.0,4.990239990735865e-09
11330.0,4.95997395170211e-09
11380.0,4.929707912668354e-09
11430.0,4.899441873634599e-09
11470.0,4.8752290424075946e-09
11481.5362,4.8682459408175706e-09
11530.0,4.8514244788173574e-09
11570.0,4.837540745391408e-09
11620.0,4.820186078608971e-09
11670.0,4.802831411826535e-09
11730.0,4.782005811687611e-09
11770.0,4.768122078261661e-09
11830.0,4.747296478122737e-09
11870.0,4.733412744696787e-09
11920.0,4.716058077914351e-09
11980.0,4.695232477775427e-09
12030.0,4.67787781099299e-09
12070.0,4.663994077567041e-09
12120.0,4.646639410784604e-09
12180.0,4.625813810645679e-09
12230.0,4.608459143863243e-09
12270.0,4.594575410437293e-09
12320.0,4.577220743654857e-09
12370.0,4.55986607687242e-09
12430.0,4.539040476733496e-09
12480.0,4.5216858099510595e-09
12530.0,4.504331143168622e-09
12580.0,4.486976476386185e-09
12620.0,4.473092742960236e-09
12670.0,4.455738076177799e-09
12720.0,4.438383409395363e-09
12780.0,4.417557809256439e-09
12830.0,4.400203142474002e-09
12880.0,4.3828484756915655e-09
12920.0,4.368964742265616e-09
12980.0,4.3481391421266914e-09
13020.0,4.334255408700742e-09
13080.0,4.313429808561818e-09
13130.0,4.2960751417793815e-09
13180.0,4.278720474996945e-09
13182.5674,4.277829347567e-09
13230.0,4.270250409728433e-09
13280.0,4.262261244219304e-09
13320.0,4.255869911812e-09
13380.0,4.246282913201045e-09
13430.0,4.238293747691915e-09
13470.0,4.231902415284612e-09
13520.0,4.2239132497754824e-09
13570.0,4.215924084266353e-09
13630.0,4.2063370856553974e-09
13670.0,4.199945753248094e-09
13730.0,4.190358754637138e-09
13770.0,4.1839674222298346e-09
13820.0,4.175978256720705e-09
13880.0,4.16639125810975e-09
13930.0,4.15840209260062e-09
13970.0,4.152010760193317e-09
14020.0,4.1440215946841875e-09
14080.0,4.134434596073232e-09
14120.0,4.128043263665928e-09
14180.0,4.118456265054973e-09
14230.0,4.110467099545843e-09
14280.0,4.102477934036714e-09
14330.0,4.094488768527585e-09
14380.0,4.0864996030184554e-09
14420.0,4.080108270611152e-09
14480.0,4.070521272000196e-09
14520.0,4.0641299395928926e-09
14570.0,4.056140774083763e-09
14620.0,4.048151608574633e-09
14670.0,4.040162443065504e-09
14720.0,4.032173277556375e-09
14770.0,4.024184112047245e-09
14830.0,4.01459711343629e-09
14880.0,4.0066079479271605e-09
14920.0,4.000216615519857e-09
14980.0,3.990629616908901e-09
15030.0,3.982640451399772e-09
15070.0,3.976249118992468e-09
15120.0,3.968259953483338e-09
15135.6125,3.965765336553113e-09
15170.0,3.963946901392151e-09
15220.0,3.961302866261708e-09
15280.0,3.958130024105176e-09
15330.0,3.955485988974733e-09
15370.0,3.953370760870378e-09
15430.0,3.950197918713846e-09
15480.0,3.947553883583403e-09
15520.0,3.945438655479049e-09
15570.0,3.942794620348606e-09
15620.0,3.9401505852181626e-09
15670.0,3.937506550087719e-09
15720.0,3.934862514957276e-09
15780.0,3.931689672800744e-09
15830.0,3.929045637670302e-09
15870.0,3.926930409565947e-09
15930.0,3.923757567409415e-09
15980.0,3.921113532278972e-09
16050.0,3.917411883096352e-09
16150.0,3.912123812835465e-09
16250.0,3.9068357425745796e-09
16350.0,3.901547672313693e-09
16450.0,3.8962596020528065e-09
16550.0,3.89097153179192e-09
16650.0,3.885683461531034e-09
16750.0,3.880395391270148e-09
16850.0,3.875107321009261e-09
16950.0,3.8698192507483755e-09
17050.0,3.864531180487489e-09
17150.0,3.859243110226602e-09
17250.0,3.853955039965717e-09
17350.0,3.84866696970483e-09
17378.0083,3.84718587112195e-09
17450.0,3.846265449589656e-09
17550.0,3.844986938966495e-09
17650.0,3.843708428343334e-09
17750.0,3.842429917720172e-09
17850.0,3.841151407097011e-09
17950.0,3.83987289647385e-09
18050.0,3.838594385850689e-09
18150.0,3.837315875227528e-09
18250.0,3.836037364604366e-09
18350.0,3.834758853981205e-09
